Date,Price
3-Jan-15,282
2-Jan-15,315.1
1-Jan-15,313.9
31-Dec-14,317
30-Dec-14,308.8
29-Dec-14,311.9
28-Dec-14,317.5
27-Dec-14,315.9
26-Dec-14,328.5
25-Dec-14,319
24-Dec-14,322.8
23-Dec-14,332.9
22-Dec-14,329
21-Dec-14,317.2
20-Dec-14,329.1
19-Dec-14,315.7
18-Dec-14,308.3
17-Dec-14,318.2
16-Dec-14,330.6
15-Dec-14,347.2
14-Dec-14,352.7
13-Dec-14,350.9
12-Dec-14,352.8
11-Dec-14,350
10-Dec-14,346.9
9-Dec-14,353.9
8-Dec-14,363.3
7-Dec-14,374.4
6-Dec-14,372.8
5-Dec-14,378.4
4-Dec-14,370.3
3-Dec-14,375.7
2-Dec-14,382
1-Dec-14,377.6
30-Nov-14,376.7
29-Nov-14,374.5
28-Nov-14,375.6
27-Nov-14,369.6
26-Nov-14,367.9
25-Nov-14,375.8
24-Nov-14,373.2
23-Nov-14,360.6
22-Nov-14,346.4
21-Nov-14,349.3
20-Nov-14,355.9
19-Nov-14,379.2
18-Nov-14,370
17-Nov-14,387.6
16-Nov-14,388.2
15-Nov-14,376.5
14-Nov-14,399.1
13-Nov-14,419.4
12-Nov-14,417.9
11-Nov-14,367
10-Nov-14,368
9-Nov-14,360
8-Nov-14,345
7-Nov-14,341.5
6-Nov-14,348.5
5-Nov-14,337.5
4-Nov-14,326.9
3-Nov-14,323.6
2-Nov-14,322.5
1-Nov-14,327.2
31-Oct-14,337
30-Oct-14,343.9
29-Oct-14,333.2
28-Oct-14,353.1
27-Oct-14,350.6
26-Oct-14,350
25-Oct-14,347.4
24-Oct-14,356.1
23-Oct-14,356
22-Oct-14,380
21-Oct-14,382.8
20-Oct-14,381
19-Oct-14,386.3
18-Oct-14,390
17-Oct-14,380.3
16-Oct-14,379.3
15-Oct-14,393.5
14-Oct-14,397.9
13-Oct-14,383.4
12-Oct-14,372
11-Oct-14,361.3
10-Oct-14,359.5
9-Oct-14,363.5
8-Oct-14,350
7-Oct-14,331
6-Oct-14,323.8
5-Oct-14,322.5
4-Oct-14,328.7
3-Oct-14,357.7
2-Oct-14,371.7
1-Oct-14,383
30-Sep-14,387.1
29-Sep-14,369.6
28-Sep-14,374.7
27-Sep-14,397.3
26-Sep-14,403
25-Sep-14,409.1
24-Sep-14,420.4
23-Sep-14,429.1
22-Sep-14,397.7
21-Sep-14,400.7
20-Sep-14,411.6
19-Sep-14,395.3
18-Sep-14,427.2
17-Sep-14,456.8
16-Sep-14,465.1
15-Sep-14,469.9
14-Sep-14,476.5
13-Sep-14,478.1
12-Sep-14,471.8
11-Sep-14,477.1
10-Sep-14,477.3
9-Sep-14,472.7
8-Sep-14,470.4
7-Sep-14,479.7
6-Sep-14,481.3
5-Sep-14,477.6
4-Sep-14,489.2
3-Sep-14,474
2-Sep-14,476.8
1-Sep-14,485.8
31-Aug-14,483.4
30-Aug-14,499
29-Aug-14,507.5
28-Aug-14,507.8
27-Aug-14,511
26-Aug-14,508.4
25-Aug-14,502.5
24-Aug-14,507.3
23-Aug-14,500.1
22-Aug-14,515.6
